Canberra (Use Sydney),Bridgetown,plane,50.75,2360,,,,,,,
Canberra (Use Sydney),Brussels,plane,27,937,,,,,,,
Canberra (Use Sydney),Bucuresti,plane,31.92,1551,,,,,,,
Canberra (Use Sydney),Budapest,plane,27,1100,,,,,,,
Canberra (Use Sydney),Bujumbura,plane,32.17,2567,,,,,,,
Canberra (Use Sydney),Cairo,plane,18.55,846,,,,,,,
Canberra (Use Sydney),Caracas,plane,32,2365,,,,,,,
Canberra (Use Sydney),Chisinau ,plane,32.5,1169,,,,,,,
Canberra (Use Sydney),Dili,plane,11.5,2170,,,,,,,
Canberra (Use Sydney),Doha,plane,17,850,,,,,,,
Canberra (Use Sydney),Dushanbe,plane,38,1737,,,,,,,
Canberra (Use Sydney),George Town,plane,40,4000,,,,,,,
Canberra (Use Sydney),Georgetown,plane,35,2409,,,,,,,
Canberra (Use Sydney),Havana,plane,45.3,79.5,,,,,,,
Canberra (Use Sydney),Helsinki,plane,27,1300,,,,,,,
Canberra (Use Sydney),Islamabad,plane,21,881,,,,,,,
Canberra (Use Sydney),Jerusalem,plane,27.25,1667,,,,,,,
Canberra (Use Sydney),Kiev,plane,28.5,1465,,,,,,,
Canberra (Use Sydney),Kigali,plane,37.83,1916,,,,,,,
Canberra (Use Sydney),Kingston,plane,25,1874,,,,,,,
Canberra (Use Sydney),Kinshasa,plane,35,1528,,,,,,,
Canberra (Use Sydney),Koror,plane,17,3935,,,,,,,
Canberra (Use Sydney),Kuala Lumpur,plane,8,250,,,,,,,
Canberra (Use Sydney),Kuala Lumpur,plane,8,212,,,,,,,
Canberra (Use Sydney),La Paz,plane,25.17,3920,,,,,,,
Canberra (Use Sydney),Libreville,plane,35.45,2116,,,,,,,
Canberra (Use Sydney),Lilongwe,plane,36,1526,,,,,,,
Canberra (Use Sydney),Lima,plane,43,2434,,,,,,,
Canberra (Use Sydney),Lisbon,plane,26.25,656,,,,,,,
Canberra (Use Sydney),London,plane,26,2274,,,,,,,
Canberra (Use Sydney),Luxembourg,plane,33,937,,,,,,,
Canberra (Use Sydney),Madrid,plane,28,1766,,,,,,,
Canberra (Use Sydney),Madrid,plane,29.25,982,,,,,,,
Canberra (Use Sydney),Malabo,plane,33.5,1730,,,,,,,
Canberra (Use Sydney),Male,plane,18,700,,,,,,,
Canberra (Use Sydney),Male,plane,16,691,,,,,,,
Canberra (Use Sydney),Manama,plane,17,1000,,,,,,,
Canberra (Use Sydney),Manila,plane,8,700,,,,,,,
Canberra (Use Sydney),Maseru,plane,30,1211,,,,,,,
Canberra (Use Sydney),Mbabane,plane,20,1500,,,,,,,
Canberra (Use Sydney),Montevideo,plane,30,4282,,,,,,,
Canberra (Use Sydney),N'Djamena,plane,56,1752,,,,,,,
Canberra (Use Sydney),Nassau,plane,40,1650,,,,,,,
Canberra (Use Sydney),New Delhi,plane,21,1931,,,,,,,
Canberra (Use Sydney),Noumea,plane,3,260,,,,,,,
Canberra (Use Sydney),Noumea,plane,3,252,,,,,,,
Canberra (Use Sydney),Nuku'alofa,plane,7.5,543,,,,,,,
Canberra (Use Sydney),Nuuk,plane,31.4,2710,,,,,,,
Canberra (Use Sydney),Oranjestad,plane,43,1871,,,,,,,
Canberra (Use Sydney),Oslo,plane,33.25,1315,,,,,,,
Canberra (Use Sydney),Ottawa,plane,1076,33.3,,,,,,,
Canberra (Use Sydney),P'yongyang,plane,25,2000,,,,,,,
Canberra (Use Sydney),P'yongyang,plane,38,1500,,,,,,,
Canberra (Use Sydney),Panama,plane,27,1943,,,,,,,
Canberra (Use Sydney),Papeete,plane,29,1767.1,,,,,,,
Canberra (Use Sydney),Paramaribo,plane,39,2424,,,,,,,
Canberra (Use Sydney),Paris,plane,28,762,,,,,,,
Canberra (Use Sydney),Phnom Penh,plane,34,1147,,,,,,,
Canberra (Use Sydney),Port Moresby,plane,44.25,840,,,,,,,
Canberra (Use Sydney),Port-Vila,plane,6.5,1005,,,,,,,
Canberra (Use Sydney),Prague,plane,22,744,,,,,,,
Canberra (Use Sydney),Praia,plane,33,5385.6,,,,,,,
Canberra (Use Sydney),Pretoria (Use Johannesburg),plane,15.5,1854,,,,,,,
Canberra (Use Sydney),Quito,plane,30,3164,,,,,,,
Canberra (Use Sydney),Quito,plane,33,1270.5,,,,,,,
Canberra (Use Sydney),Reykjavik,plane,36.9,1068,,,,,,,
Canberra (Use Sydney),Riga,plane,32,2200,,,,,,,
Canberra (Use Sydney),Road Town,plane,50,2100,,,,,,,
Canberra (Use Sydney),Saint-Pierre,plane,40,2000,,,,,,,
Canberra (Use Sydney),San Marino,plane,27,1000,,,,,,,
Canberra (Use Sydney),San Salvador,plane,38,2261,,,,,,,
Canberra (Use Sydney),Santiago,plane,18.2,1650,,,,,,,
Canberra (Use Sydney),Sarajevo,plane,30,1976,,,,,,,
Canberra (Use Sydney),Seoul,plane,30,600,,,,,,,
Canberra (Use Sydney),Singapore,plane,12,634,,,,,,,
Canberra (Use Sydney),St. Peter Port,plane,37,945,,,,,,,
Canberra (Use Sydney),Stockholm,plane,26.167,848,,,,,,,
Canberra (Use Sydney),Suva,plane,19,877.64,,,,,,,
Canberra (Use Sydney),Tallinn,plane,27.5,1057,,,,,,,
Canberra (Use Sydney),Tokyo,plane,20,656,,,,,,,
Canberra (Use Sydney),Torshavn,plane,31,2535,,,,,,,
Canberra (Use Sydney),Tunis,plane,20,1200,,,,,,,
Canberra (Use Sydney),Valletta,plane,20,1862,,,,,,,
Canberra (Use Sydney),Vientiane,plane,20,687,,,,,,,
Canberra (Use Sydney),Vientiane,plane,35,700,,,,,,,
Canberra (Use Sydney),Vilnius,plane,30.5,1690,,,,,,,
Canberra (Use Sydney),W. Indies,plane,50.33,1703,,,,,,,
Canberra (Use Sydney),Warsaw,plane,23.33,824,,,,,,,
Canberra (Use Sydney),Washington DC,plane,26,1604,,,,,,,
Canberra (Use Sydney),Wellington,plane,3.5,538,,,,,,,
Canberra (Use Sydney),Willemstad,plane,40,1952,,,,,,,
Canberra (Use Sydney),Yaounde,plane,46.25,2082,,,,,,,
Canberra (Use Sydney),Zagreb,plane,30,1760,,,,,,,
Caracas,Bogota,plane,2,708,,,,,,,
Caracas,Bogota,bus,47,173,,,,,,,
Caracas,Brasilia,bus,89,244,,,,,,,
Caracas,Canberra (Use Sydney),plane,32,2365,,,,,,,
Caracas,Lima,plane,8,906,,,,,,,
Caracas,Lisbon,plane,11,1238,,,,,,,
Caracas,London,plane,12,1238,,,,,,,
Caracas,Pretoria (Use Johannesburg),plane,41,2617,,,,,,,
Caracas,Singapore,plane,51,2531,,,,,,,
Caracas,Washington DC,plane,8,1209,,,,,,,
Cayenne,Brasilia,truck,24.2,321.68,,,,,,,
Cayenne,Paramaribo,plane,3.08,200,,,,,,,
Charlotte Amalie,Road Town,boat,0.83333,35,,,,,,,
Chisinau ,Bucuresti,bus,8,20.89,,,,,,,
Chisinau ,Bucuresti,train,12.5,32.64,,,,,,,
